ID	COUNTRY	BASE_URL	PRODUCT_URL	LOG_CHANNEL
136	DE	https://www.amazon.de	https://www.amazon.de/dp/B08KHL21CV	-1001216732301
137	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08KHL21CV	-1001412533426
138	IT	https://www.amazon.it	https://www.amazon.it/dp/B08KHL21CV	-1001253195786
139	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08KHL2J5X	-1001456391950
140	DE	https://www.amazon.de	https://www.amazon.de/dp/B08KHL2J5X	-1001216732301
141	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08KHL2J5X	-1001412533426
142	IT	https://www.amazon.it	https://www.amazon.it/dp/B08KHL2J5X	-1001253195786
143	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08KWLMZV4	-1001456391950
144	DE	https://www.amazon.de	https://www.amazon.de/dp/B08KWLMZV4	-1001216732301
145	IT	https://www.amazon.it	https://www.amazon.it/dp/B08KWLMZV4	-1001253195786
146	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08KWN2LZG	-1001456391950
147	DE	https://www.amazon.de	https://www.amazon.de/dp/B08KWN2LZG	-1001216732301
148	IT	https://www.amazon.it	https://www.amazon.it/dp/B08KWN2LZG	-1001253195786
149	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08KWPDXJZ	-1001456391950
150	DE	https://www.amazon.de	https://www.amazon.de/dp/B08KWPDXJZ	-1001216732301
151	IT	https://www.amazon.it	https://www.amazon.it/dp/B08KWPDXJZ	-1001253195786
152	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08L6PCZTR	-1001456391950
153	DE	https://www.amazon.de	https://www.amazon.de/dp/B08L6PCZTR	-1001216732301
154	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08L6PCZTR	-1001412533426
155	IT	https://www.amazon.it	https://www.amazon.it/dp/B08L6PCZTR	-1001253195786
156	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08L8L9TCZ	-1001456391950
157	DE	https://www.amazon.de	https://www.amazon.de/dp/B08L8L9TCZ	-1001216732301
158	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08L8L9TCZ	-1001412533426
159	IT	https://www.amazon.it	https://www.amazon.it/dp/B08L8L9TCZ	-1001253195786
160	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08LBVNKT1	-1001456391950
161	DE	https://www.amazon.de	https://www.amazon.de/dp/B08LBVNKT1	-1001216732301
162	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08LBVNKT1	-1001412533426
163	IT	https://www.amazon.it	https://www.amazon.it/dp/B08LBVNKT1	-1001253195786
164	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08LDS72P2	-1001456391950
165	DE	https://www.amazon.de	https://www.amazon.de/dp/B08LDS72P2	-1001216732301
166	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08LDS72P2	-1001412533426
167	IT	https://www.amazon.it	https://www.amazon.it/dp/B08LDS72P2	-1001253195786
168	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08LDT6HQ5	-1001456391950
169	DE	https://www.amazon.de	https://www.amazon.de/dp/B08LDT6HQ5	-1001216732301
170	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08LDT6HQ5	-1001412533426
171	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08LLG9KQT	-1001456391950
172	DE	https://www.amazon.de	https://www.amazon.de/dp/B08LLG9KQT	-1001216732301
173	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08LLG9KQT	-1001412533426
174	IT	https://www.amazon.it	https://www.amazon.it/dp/B08LLG9KQT	-1001253195786
175	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08LNPPCWJ	-1001456391950
176	DE	https://www.amazon.de	https://www.amazon.de/dp/B08LNPPCWJ	-1001216732301
177	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08LNPPCWJ	-1001412533426
178	IT	https://www.amazon.it	https://www.amazon.it/dp/B08LNPPCWJ	-1001253195786
179	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08LNQTSCT	-1001456391950
180	DE	https://www.amazon.de	https://www.amazon.de/dp/B08LNQTSCT	-1001216732301
181	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08LNQTSCT	-1001412533426
182	IT	https://www.amazon.it	https://www.amazon.it/dp/B08LNQTSCT	-1001253195786
183	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08LNWPYRS	-1001456391950
184	DE	https://www.amazon.de	https://www.amazon.de/dp/B08LNWPYRS	-1001216732301
185	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08LNWPYRS	-1001412533426
186	IT	https://www.amazon.it	https://www.amazon.it/dp/B08LNWPYRS	-1001253195786
187	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08M13DXSZ	-1001456391950
188	DE	https://www.amazon.de	https://www.amazon.de/dp/B08M13DXSZ	-1001216732301
189	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08M13DXSZ	-1001412533426
190	IT	https://www.amazon.it	https://www.amazon.it/dp/B08M13DXSZ	-1001253195786
191	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08MKSYYZ4	-1001456391950
192	DE	https://www.amazon.de	https://www.amazon.de/dp/B08MKSYYZ4	-1001216732301
193	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08MKSYYZ4	-1001412533426
194	IT	https://www.amazon.it	https://www.amazon.it/dp/B08MKSYYZ4	-1001253195786
195	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08MWS59K8	-1001456391950
196	DE	https://www.amazon.de	https://www.amazon.de/dp/B08MWS59K8	-1001216732301
197	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08MWS59K8	-1001412533426
198	IT	https://www.amazon.it	https://www.amazon.it/dp/B08MWS59K8	-1001253195786
199	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08NT9WQBG	-1001456391950
200	DE	https://www.amazon.de	https://www.amazon.de/dp/B08NT9WQBG	-1001216732301
201	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08NT9WQBG	-1001412533426
202	IT	https://www.amazon.it	https://www.amazon.it/dp/B08NT9WQBG	-1001253195786
203	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08NW2X37Z	-1001456391950
204	DE	https://www.amazon.de	https://www.amazon.de/dp/B08NW2X37Z	-1001216732301
205	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08NW2X37Z	-1001412533426
206	IT	https://www.amazon.it	https://www.amazon.it/dp/B08NW2X37Z	-1001253195786
207	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08NW2YJB2	-1001456391950
208	DE	https://www.amazon.de	https://www.amazon.de/dp/B08NW2YJB2	-1001216732301
209	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08NW2YJB2	-1001412533426
210	IT	https://www.amazon.it	https://www.amazon.it/dp/B08NW2YJB2	-1001253195786
211	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08NW32F74	-1001456391950
212	DE	https://www.amazon.de	https://www.amazon.de/dp/B08NW32F74	-1001216732301
213	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08NW32F74	-1001412533426
214	IT	https://www.amazon.it	https://www.amazon.it/dp/B08NW32F74	-1001253195786
215	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08NW528S1	-1001456391950
216	DE	https://www.amazon.de	https://www.amazon.de/dp/B08NW528S1	-1001216732301
217	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08NW528S1	-1001412533426
218	IT	https://www.amazon.it	https://www.amazon.it/dp/B08NW528S1	-1001253195786
219	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08NZ4G4T2	-1001456391950
220	DE	https://www.amazon.de	https://www.amazon.de/dp/B08NZ4G4T2	-1001216732301
221	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08NZ4G4T2	-1001412533426
222	IT	https://www.amazon.it	https://www.amazon.it/dp/B08NZ4G4T2	-1001253195786
223	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08P2D3JSG	-1001456391950
224	DE	https://www.amazon.de	https://www.amazon.de/dp/B08P2D3JSG	-1001216732301
225	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08P2D3JSG	-1001412533426
226	IT	https://www.amazon.it	https://www.amazon.it/dp/B08P2D3JSG	-1001253195786
227	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08P37HYZM	-1001456391950
228	DE	https://www.amazon.de	https://www.amazon.de/dp/B08P37HYZM	-1001216732301
229	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08P37HYZM	-1001412533426
230	IT	https://www.amazon.it	https://www.amazon.it/dp/B08P37HYZM	-1001253195786
231	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08P3BJ9Y8	-1001456391950
232	DE	https://www.amazon.de	https://www.amazon.de/dp/B08P3BJ9Y8	-1001216732301
233	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08P3BJ9Y8	-1001412533426
234	IT	https://www.amazon.it	https://www.amazon.it/dp/B08P3BJ9Y8	-1001253195786
235	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08P7ZKQPP	-1001456391950
236	DE	https://www.amazon.de	https://www.amazon.de/dp/B08P7ZKQPP	-1001216732301
237	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08P7ZKQPP	-1001412533426
238	IT	https://www.amazon.it	https://www.amazon.it/dp/B08P7ZKQPP	-1001253195786
239	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08PC6N5LB	-1001456391950
240	DE	https://www.amazon.de	https://www.amazon.de/dp/B08PC6N5LB	-1001216732301
241	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08PC6N5LB	-1001412533426
242	IT	https://www.amazon.it	https://www.amazon.it/dp/B08PC6N5LB	-1001253195786
243	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08QW8BKDV	-1001456391950
244	DE	https://www.amazon.de	https://www.amazon.de/dp/B08QW8BKDV	-1001216732301
245	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08QW8BKDV	-1001412533426
246	IT	https://www.amazon.it	https://www.amazon.it/dp/B08QW8BKDV	-1001253195786
247	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08QZP2RRS	-1001456391950
248	DE	https://www.amazon.de	https://www.amazon.de/dp/B08QZP2RRS	-1001216732301
249	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08QZP2RRS	-1001412533426
250	IT	https://www.amazon.it	https://www.amazon.it/dp/B08QZP2RRS	-1001253195786
251	UK	https://www.amazon.co.uk	https://www.amazon.co.uk/dp/B08R427DMQ	-1001456391950
252	DE	https://www.amazon.de	https://www.amazon.de/dp/B08R427DMQ	-1001216732301
253	FR	https://www.amazon.fr	https://www.amazon.fr/dp/B08R427DMQ	-1001412533426
254	IT	https://www.amazon.it	https://www.amazon.it/dp/B08R427DMQ	-1001253195786
